"Status";"Amount";"Customer";"Pipeline status";"Status";"Creation date";"Closing date";"Product";"Country";"Sales person";"Prob"
"RED";"14,762.162";"Company 2";"EARLY";"CONTACTED";"27/03/2011 05:34:23";"04/08/2011 05:34:23";"PRODUCT 11";"India";"Jamie Gilbeau";"16.585"
"RED";"9,086.337";"Company 8";"STANDBY";"QUALIFIED";"19/03/2011 02:06:23";"20/07/2011 02:06:23";"PRODUCT 11";"Norway";"Darryl Innes";"1.016"
"GREY";"14,472.502";"Company 5";"STANDBY";"LOST";"28/02/2011 15:39:23";"05/07/2011 15:39:23";"PRODUCT 8";"Netherlands";"Roxie Foraker";"49.102"
"GREY";"12,784.959";"Company 7";"EARLY";"SHORT LISTED";"11/03/2011 22:38:23";"23/07/2011 22:38:23";"PRODUCT 8";"Australia";"Roxie Foraker";"46.872"
"GREY";"8,455.217";"Company 8";"EARLY";"LOST";"24/03/2011 07:12:23";"05/08/2011 07:12:23";"PRODUCT 10";"Switzerland";"Darryl Innes";"46.898"
"RED";"13,345.926";"Company 6";"EARLY";"CONTACTED";"19/03/2011 10:42:23";"17/07/2011 10:42:23";"PRODUCT 3";"Norway";"Jamie Gilbeau";"22.243"
"RED";"8,989.991";"Company 7";"ADVANCED";"LOST";"18/03/2011 09:34:23";"26/06/2011 09:34:23";"PRODUCT 8";"South Korea";"Darryl Innes";"18.758"
"YELLOW";"14,310.342";"Company 5";"EARLY";"LOST";"27/03/2011 03:56:23";"09/07/2011 03:56:23";"PRODUCT 5";"Poland";"Jamie Gilbeau";"52.981"
"GREY";"10,675.818";"Company 3";"ADVANCED";"LOST";"18/03/2011 18:09:23";"30/06/2011 18:09:23";"PRODUCT 3";"Mexico";"Kathrine Janas";"27.921"
"YELLOW";"9,898.65";"Company 7";"STANDBY";"SHORT LISTED";"16/03/2011 12:09:23";"24/07/2011 12:09:23";"PRODUCT 8";"South Korea";"Nita Marling";"63.982"
"YELLOW";"13,528.993";"Company 6";"EARLY";"WIN";"12/03/2011 20:01:23";"07/07/2011 20:01:23";"PRODUCT 6";"Belgium";"Kathrine Janas";"67.296"
"GREEN";"12,551.988";"Company 3";"EARLY";"DEMO";"21/04/2011 18:36:23";"05/08/2011 18:36:23";"PRODUCT 4";"Poland";"Nita Marling";"82.73"
"RED";"10,342.824";"Company 2";"EARLY";"WIN";"13/04/2011 13:05:23";"06/08/2011 13:05:23";"PRODUCT 7";"India";"Nita Marling";"3.831"
"GREY";"11,485.256";"Company 9";"EARLY";"WIN";"11/04/2011 15:26:23";"22/08/2011 15:26:23";"PRODUCT 10";"South Korea";"Kathrine Janas";"36.979"
"GREY";"11,809.062";"Company 2";"STANDBY";"QUALIFIED";"01/04/2011 01:06:23";"12/08/2011 01:06:23";"PRODUCT 8";"Germany";"Jamie Gilbeau";"42.012"
"GREEN";"12,751.903";"Company 1";"STANDBY";"WIN";"01/04/2011 01:35:23";"10/08/2011 01:35:23";"PRODUCT 8";"Spain";"Jamie Gilbeau";"96.58"
"YELLOW";"14,901.047";"Company 8";"ADVANCED";"STANDBY";"03/04/2011 10:08:23";"04/07/2011 10:08:23";"PRODUCT 8";"Poland";"Roxie Foraker";"56.512"
"RED";"10,320.439";"Company 2";"STANDBY";"SHORT LISTED";"12/04/2011 20:10:23";"15/08/2011 20:10:23";"PRODUCT 11";"Saudi Arabia";"Jamie Gilbeau";"9.442"
"GREY";"9,018.577";"Company 7";"ADVANCED";"QUALIFIED";"19/04/2011 14:54:23";"09/08/2011 14:54:23";"PRODUCT 4";"Switzerland";"Darryl Innes";"43.974"
"GREEN";"10,662.66";"Company 2";"STANDBY";"VERBAL COMMITMENT";"19/04/2011 18:37:23";"31/07/2011 18:37:23";"PRODUCT 1";"Germany";"Roxie Foraker";"81.641"
"GREY";"9,394.492";"Company 8";"ADVANCED";"CONTACTED";"13/04/2011 08:57:23";"15/07/2011 08:57:23";"PRODUCT 6";"Saudi Arabia";"Jamie Gilbeau";"43.936"
"YELLOW";"9,353.589";"Company 9";"ADVANCED";"STANDBY";"14/04/2011 01:13:23";"25/08/2011 01:13:23";"PRODUCT 8";"South Korea";"Nita Marling";"51.665"
"GREEN";"9,262.98";"Company 5";"ADVANCED";"LOST";"02/04/2011 21:08:23";"11/07/2011 21:08:23";"PRODUCT 11";"China";"Jerri Preble";"78.901"
"RED";"14,183.147";"Company 8";"ADVANCED";"VERBAL COMMITMENT";"18/04/2011 04:21:23";"25/08/2011 04:21:23";"PRODUCT 8";"France";"Kathrine Janas";"8.8"
"YELLOW";"8,289.599";"Company 3";"EARLY";"WIN";"02/04/2011 23:57:23";"23/07/2011 23:57:23";"PRODUCT 1";"Indonesia";"Darryl Innes";"63.541"
"RED";"13,279.527";"Company 8";"EARLY";"STANDBY";"26/04/2011 15:51:23";"17/08/2011 15:51:23";"PRODUCT 8";"Norway";"Neva Hunger";"5.659"
"GREY";"8,763.02";"Company 9";"STANDBY";"STANDBY";"04/04/2011 20:21:23";"31/07/2011 20:21:23";"PRODUCT 8";"Indonesia";"Darryl Innes";"33.044"
"RED";"10,744.305";"Company 4";"STANDBY";"CONTACTED";"26/04/2011 23:27:23";"29/08/2011 23:27:23";"PRODUCT 4";"France";"Roxie Foraker";"14.85"
"GREY";"11,048.487";"Company 5";"EARLY";"STANDBY";"16/04/2011 15:27:23";"12/08/2011 15:27:23";"PRODUCT 2";"Australia";"Neva Hunger";"40.607"
"GREEN";"14,299.25";"Company 2";"ADVANCED";"DEMO";"07/04/2011 15:35:23";"11/08/2011 15:35:23";"PRODUCT 4";"Norway";"Darryl Innes";"79.782"
"YELLOW";"11,802.996";"Company 4";"EARLY";"VERBAL COMMITMENT";"27/04/2011 21:13:23";"22/08/2011 21:13:23";"PRODUCT 7";"United States";"Jerri Preble";"74.061"
"RED";"13,444.873";"Company 1";"ADVANCED";"DEMO";"13/04/2011 03:13:23";"16/07/2011 03:13:23";"PRODUCT 3";"France";"Darryl Innes";"9.619"
"GREY";"8,452.194";"Company 9";"ADVANCED";"DEMO";"04/04/2011 09:00:23";"18/07/2011 09:00:23";"PRODUCT 1";"India";"Jamie Gilbeau";"41.642"
"YELLOW";"14,630.675";"Company 1";"EARLY";"QUALIFIED";"26/04/2011 23:09:23";"22/08/2011 23:09:23";"PRODUCT 6";"United States";"Nita Marling";"68.365"
"GREEN";"13,428.997";"Company 5";"ADVANCED";"DEMO";"27/04/2011 15:43:23";"30/08/2011 15:43:23";"PRODUCT 3";"United States";"Julio Burdge";"76.9"
"RED";"10,937.131";"Company 2";"EARLY";"WIN";"13/04/2011 00:21:23";"25/08/2011 00:21:23";"PRODUCT 3";"United Kingdom";"Neva Hunger";"8.099"
"RED";"11,673.922";"Company 5";"STANDBY";"CONTACTED";"17/04/2011 11:23:23";"01/08/2011 11:23:23";"PRODUCT 11";"Belgium";"Darryl Innes";"12.752"
"GREEN";"8,769.378";"Company 4";"ADVANCED";"VERBAL COMMITMENT";"11/04/2011 09:06:23";"09/08/2011 09:06:23";"PRODUCT 5";"India";"Jerri Preble";"96.343"
"YELLOW";"11,897.146";"Company 6";"EARLY";"VERBAL COMMITMENT";"05/04/2011 10:56:23";"16/08/2011 10:56:23";"PRODUCT 8";"Netherlands";"Julio Burdge";"74.673"
"GREEN";"10,062.637";"Company 1";"ADVANCED";"WIN";"18/04/2011 22:27:23";"01/08/2011 22:27:23";"PRODUCT 5";"Brazil";"Nita Marling";"87.576"
"GREY";"13,102.276";"Company 8";"ADVANCED";"SHORT LISTED";"16/04/2011 23:14:23";"25/08/2011 23:14:23";"PRODUCT 2";"Norway";"Julio Burdge";"43.026"
"GREEN";"9,499.338";"Company 6";"STANDBY";"WIN";"14/05/2011 20:42:23";"21/08/2011 20:42:23";"PRODUCT 8";"Indonesia";"Neva Hunger";"88.883"
"GREY";"8,871.842";"Company 4";"STANDBY";"LOST";"01/05/2011 22:16:23";"01/09/2011 22:16:23";"PRODUCT 10";"Italy";"Jerri Preble";"34.54"
"YELLOW";"10,237.975";"Company 3";"STANDBY";"LOST";"13/05/2011 22:28:23";"03/09/2011 22:28:23";"PRODUCT 5";"South Korea";"Kathrine Janas";"69.754"
"YELLOW";"11,914.508";"Company 5";"STANDBY";"DEMO";"13/05/2011 20:31:23";"06/09/2011 20:31:23";"PRODUCT 10";"Spain";"Darryl Innes";"52.915"
"YELLOW";"12,653.677";"Company 3";"STANDBY";"QUALIFIED";"06/05/2011 08:45:23";"17/09/2011 08:45:23";"PRODUCT 5";"Switzerland";"Jerri Preble";"66.013"
"YELLOW";"11,374.001";"Company 4";"ADVANCED";"LOST";"19/05/2011 03:46:23";"16/09/2011 03:46:23";"PRODUCT 7";"Netherlands";"Jerri Preble";"58.585"
"GREY";"14,590.495";"Company 2";"EARLY";"QUALIFIED";"06/05/2011 06:36:23";"23/08/2011 06:36:23";"PRODUCT 5";"Italy";"Jamie Gilbeau";"27.893"
"RED";"13,399.76";"Company 4";"STANDBY";"WIN";"07/05/2011 01:34:23";"23/08/2011 01:34:23";"PRODUCT 5";"Netherlands";"Roxie Foraker";"7.607"
"YELLOW";"12,625.408";"Company 4";"ADVANCED";"STANDBY";"11/05/2011 21:30:23";"25/08/2011 21:30:23";"PRODUCT 10";"Germany";"Kathrine Janas";"62.252"
"RED";"14,479.3";"Company 8";"STANDBY";"VERBAL COMMITMENT";"14/05/2011 18:07:23";"29/08/2011 18:07:23";"PRODUCT 2";"Netherlands";"Kathrine Janas";"9.697"
"RED";"14,844.053";"Company 2";"EARLY";"SHORT LISTED";"01/05/2011 00:27:23";"02/09/2011 00:27:23";"PRODUCT 1";"Turkey";"Kathrine Janas";"18.929"
"YELLOW";"9,032.303";"Company 8";"STANDBY";"DEMO";"27/05/2011 00:32:23";"03/09/2011 00:32:23";"PRODUCT 8";"Spain";"Jerri Preble";"55.408"
"YELLOW";"12,628.169";"Company 7";"EARLY";"LOST";"26/05/2011 19:30:23";"27/09/2011 19:30:23";"PRODUCT 3";"Belgium";"Jamie Gilbeau";"71.238"
"YELLOW";"13,766.417";"Company 7";"STANDBY";"QUALIFIED";"22/05/2011 17:50:23";"23/08/2011 17:50:23";"PRODUCT 2";"Italy";"Darryl Innes";"62.444"
"GREY";"12,954.758";"Company 8";"EARLY";"CONTACTED";"01/05/2011 03:48:23";"25/08/2011 03:48:23";"PRODUCT 3";"Japan";"Kathrine Janas";"40.607"
"GREEN";"14,294.783";"Company 6";"STANDBY";"STANDBY";"08/05/2011 01:29:23";"15/08/2011 01:29:23";"PRODUCT 1";"Netherlands";"Jerri Preble";"91.121"
"RED";"8,706.972";"Company 7";"ADVANCED";"DEMO";"07/05/2011 19:08:23";"20/08/2011 19:08:23";"PRODUCT 11";"Mexico";"Jerri Preble";"15.355"
"GREEN";"12,515.275";"Company 5";"ADVANCED";"WIN";"05/05/2011 02:04:23";"12/08/2011 02:04:23";"PRODUCT 4";"India";"Kathrine Janas";"78.96"
"RED";"9,496.709";"Company 8";"ADVANCED";"DEMO";"14/05/2011 23:27:23";"16/08/2011 23:27:23";"PRODUCT 6";"Poland";"Roxie Foraker";"13.61"
"GREY";"10,251.461";"Company 3";"STANDBY";"VERBAL COMMITMENT";"03/05/2011 10:20:23";"11/09/2011 10:20:23";"PRODUCT 8";"Belgium";"Nita Marling";"44.428"
"GREY";"10,498.94";"Company 9";"EARLY";"STANDBY";"22/05/2011 19:53:23";"27/09/2011 19:53:23";"PRODUCT 8";"Norway";"Neva Hunger";"40.367"
"RED";"9,655.283";"Company 8";"STANDBY";"QUALIFIED";"24/05/2011 20:01:23";"15/09/2011 20:01:23";"PRODUCT 1";"India";"Jerri Preble";"9.816"
"GREEN";"14,797.742";"Company 1";"STANDBY";"WIN";"10/05/2011 04:26:23";"08/09/2011 04:26:23";"PRODUCT 6";"France";"Jerri Preble";"88.687"
"GREEN";"12,871.455";"Company 9";"ADVANCED";"VERBAL COMMITMENT";"08/05/2011 04:18:23";"12/08/2011 04:18:23";"PRODUCT 8";"Turkey";"Neva Hunger";"93.261"
"GREY";"14,744.055";"Company 2";"EARLY";"QUALIFIED";"02/05/2011 13:37:23";"09/09/2011 13:37:23";"PRODUCT 8";"India";"Julio Burdge";"35.041"
"RED";"10,463.58";"Company 1";"EARLY";"CONTACTED";"10/05/2011 15:24:23";"23/08/2011 15:24:23";"PRODUCT 3";"Indonesia";"Nita Marling";"19.903"
"GREEN";"12,825.166";"Company 9";"EARLY";"CONTACTED";"19/05/2011 02:19:23";"27/08/2011 02:19:23";"PRODUCT 2";"South Korea";"Julio Burdge";"78.783"
"RED";"11,101.984";"Company 4";"EARLY";"WIN";"14/05/2011 16:39:23";"02/09/2011 16:39:23";"PRODUCT 5";"United Kingdom";"Nita Marling";"2.188"
"GREEN";"8,545.894";"Company 8";"EARLY";"SHORT LISTED";"12/05/2011 08:15:23";"20/08/2011 08:15:23";"PRODUCT 10";"Japan";"Jerri Preble";"75.78"
"GREY";"11,013.274";"Company 5";"STANDBY";"VERBAL COMMITMENT";"09/05/2011 11:26:23";"16/09/2011 11:26:23";"PRODUCT 8";"Canada";"Nita Marling";"39.31"
"RED";"10,821.512";"Company 2";"STANDBY";"QUALIFIED";"17/06/2011 10:58:23";"12/10/2011 10:58:23";"PRODUCT 6";"United States";"Jamie Gilbeau";"16.166"
"GREEN";"11,691.608";"Company 4";"ADVANCED";"VERBAL COMMITMENT";"22/06/2011 20:22:23";"25/10/2011 20:22:23";"PRODUCT 8";"Switzerland";"Neva Hunger";"85.791"
"GREEN";"9,382.375";"Company 2";"EARLY";"CONTACTED";"27/06/2011 04:28:23";"20/10/2011 04:28:23";"PRODUCT 2";"France";"Kathrine Janas";"96.251"
"GREY";"12,371.689";"Company 2";"ADVANCED";"WIN";"06/06/2011 16:23:23";"09/09/2011 16:23:23";"PRODUCT 7";"Japan";"Neva Hunger";"39.205"
"GREY";"13,690.272";"Company 1";"STANDBY";"STANDBY";"01/06/2011 02:40:23";"20/09/2011 02:40:23";"PRODUCT 11";"Switzerland";"Roxie Foraker";"34.557"
"GREEN";"8,763.472";"Company 6";"STANDBY";"LOST";"12/06/2011 18:12:23";"14/09/2011 18:12:23";"PRODUCT 3";"Brazil";"Julio Burdge";"97.041"
"GREEN";"8,866.498";"Company 9";"ADVANCED";"WIN";"04/06/2011 01:35:23";"16/09/2011 01:35:23";"PRODUCT 5";"Sweden";"Darryl Innes";"82.011"
"GREY";"8,548.6";"Company 4";"STANDBY";"SHORT LISTED";"24/06/2011 22:26:23";"22/10/2011 22:26:23";"PRODUCT 7";"Spain";"Roxie Foraker";"32.709"
"GREEN";"14,131.641";"Company 3";"STANDBY";"CONTACTED";"23/06/2011 20:29:23";"08/10/2011 20:29:23";"PRODUCT 10";"Poland";"Jamie Gilbeau";"76.26"
"GREY";"11,138.546";"Company 4";"EARLY";"VERBAL COMMITMENT";"15/06/2011 17:20:23";"14/10/2011 17:20:23";"PRODUCT 5";"Germany";"Neva Hunger";"40.681"
"GREEN";"9,257.089";"Company 2";"ADVANCED";"WIN";"23/06/2011 15:38:23";"01/11/2011 15:38:23";"PRODUCT 8";"Italy";"Roxie Foraker";"90.142"
"RED";"11,194.484";"Company 3";"STANDBY";"SHORT LISTED";"31/05/2011 22:44:23";"02/09/2011 22:44:23";"PRODUCT 2";"Australia";"Darryl Innes";"0.779"
"RED";"12,528.259";"Company 2";"EARLY";"DEMO";"23/06/2011 06:01:23";"04/11/2011 06:01:23";"PRODUCT 10";"Saudi Arabia";"Julio Burdge";"24.289"
"RED";"8,408.871";"Company 3";"STANDBY";"STANDBY";"24/06/2011 09:47:23";"16/10/2011 09:47:23";"PRODUCT 3";"China";"Neva Hunger";"11.602"
"GREEN";"12,719.539";"Company 9";"ADVANCED";"CONTACTED";"07/06/2011 14:38:23";"12/09/2011 14:38:23";"PRODUCT 6";"Russia";"Jamie Gilbeau";"93.874"
"GREY";"13,048.755";"Company 4";"STANDBY";"VERBAL COMMITMENT";"06/06/2011 14:56:23";"20/09/2011 14:56:23";"PRODUCT 5";"Sweden";"Roxie Foraker";"43.087"
"YELLOW";"10,580.953";"Company 9";"STANDBY";"SHORT LISTED";"08/06/2011 18:31:23";"03/10/2011 18:31:23";"PRODUCT 5";"United States";"Roxie Foraker";"59.498"
"YELLOW";"8,760.796";"Company 6";"EARLY";"WIN";"10/06/2011 18:29:23";"13/10/2011 18:29:23";"PRODUCT 7";"Brazil";"Darryl Innes";"58.224"
"YELLOW";"12,336.547";"Company 4";"STANDBY";"LOST";"01/06/2011 22:10:23";"08/10/2011 22:10:23";"PRODUCT 8";"France";"Nita Marling";"52.217"
"YELLOW";"9,138.009";"Company 8";"ADVANCED";"LOST";"25/06/2011 00:39:23";"15/10/2011 00:39:23";"PRODUCT 6";"Saudi Arabia";"Julio Burdge";"53.896"
"GREY";"13,694.483";"Company 2";"EARLY";"SHORT LISTED";"18/06/2011 15:23:23";"19/09/2011 15:23:23";"PRODUCT 10";"Japan";"Roxie Foraker";"42.709"
"YELLOW";"8,548.224";"Company 5";"ADVANCED";"VERBAL COMMITMENT";"27/06/2011 04:49:23";"22/10/2011 04:49:23";"PRODUCT 10";"Poland";"Nita Marling";"70.875"
"RED";"12,868.865";"Company 7";"STANDBY";"DEMO";"16/06/2011 08:32:23";"22/10/2011 08:32:23";"PRODUCT 1";"Saudi Arabia";"Kathrine Janas";"4.587"
"RED";"12,724.267";"Company 5";"STANDBY";"SHORT LISTED";"22/06/2011 11:21:23";"21/10/2011 11:21:23";"PRODUCT 10";"United States";"Jerri Preble";"22.942"
"RED";"14,113.277";"Company 3";"STANDBY";"CONTACTED";"03/06/2011 05:15:23";"01/10/2011 05:15:23";"PRODUCT 10";"United Kingdom";"Neva Hunger";"21.843"
"GREEN";"12,615.855";"Company 5";"ADVANCED";"QUALIFIED";"24/06/2011 16:08:23";"13/10/2011 16:08:23";"PRODUCT 10";"Indonesia";"Nita Marling";"95.167"
"GREEN";"11,266.038";"Company 4";"STANDBY";"QUALIFIED";"21/06/2011 03:08:23";"01/11/2011 03:08:23";"PRODUCT 1";"Indonesia";"Julio Burdge";"90.441"
"YELLOW";"10,003.215";"Company 4";"STANDBY";"SHORT LISTED";"05/06/2011 23:41:23";"23/09/2011 23:41:23";"PRODUCT 8";"China";"Julio Burdge";"61.31"
"YELLOW";"10,807.18";"Company 8";"EARLY";"DEMO";"13/06/2011 20:25:23";"03/10/2011 20:25:23";"PRODUCT 7";"Norway";"Jamie Gilbeau";"64.046"
"YELLOW";"14,372.423";"Company 7";"EARLY";"LOST";"08/06/2011 20:54:23";"18/09/2011 20:54:23";"PRODUCT 4";"South Korea";"Julio Burdge";"70.378"
"GREEN";"13,927.144";"Company 4";"EARLY";"LOST";"12/07/2011 06:24:23";"09/11/2011 06:24:23";"PRODUCT 5";"Poland";"Roxie Foraker";"93.898"
"YELLOW";"14,552.45";"Company 7";"EARLY";"SHORT LISTED";"25/07/2011 12:08:23";"23/10/2011 12:08:23";"PRODUCT 7";"Spain";"Darryl Innes";"52.314"
"RED";"10,107.193";"Company 3";"STANDBY";"STANDBY";"24/07/2011 13:49:23";"22/10/2011 13:49:23";"PRODUCT 2";"Japan";"Neva Hunger";"12.82"
"GREEN";"12,613.943";"Company 8";"STANDBY";"WIN";"05/07/2011 18:58:23";"06/10/2011 18:58:23";"PRODUCT 1";"France";"Julio Burdge";"92.831"
"RED";"13,711.542";"Company 6";"STANDBY";"DEMO";"17/07/2011 19:13:23";"10/11/2011 19:13:23";"PRODUCT 2";"Brazil";"Jamie Gilbeau";"13.374"
"GREY";"11,529.716";"Company 5";"ADVANCED";"VERBAL COMMITMENT";"23/07/2011 10:53:23";"30/10/2011 10:53:23";"PRODUCT 1";"Mexico";"Roxie Foraker";"27.38"
"YELLOW";"14,091.215";"Company 8";"STANDBY";"WIN";"17/07/2011 06:36:23";"17/11/2011 06:36:23";"PRODUCT 6";"Sweden";"Darryl Innes";"70.151"
"RED";"9,096.954";"Company 5";"STANDBY";"VERBAL COMMITMENT";"15/07/2011 00:17:23";"26/11/2011 00:17:23";"PRODUCT 6";"Switzerland";"Darryl Innes";"4.269"
"YELLOW";"10,699.608";"Company 7";"EARLY";"LOST";"27/07/2011 01:42:23";"16/11/2011 01:42:23";"PRODUCT 1";"Indonesia";"Julio Burdge";"56.208"
"YELLOW";"8,621.151";"Company 5";"ADVANCED";"VERBAL COMMITMENT";"02/07/2011 17:26:23";"17/10/2011 17:26:23";"PRODUCT 2";"Norway";"Julio Burdge";"66.916"
"RED";"10,719.786";"Company 4";"EARLY";"SHORT LISTED";"12/07/2011 09:02:23";"29/10/2011 09:02:23";"PRODUCT 7";"Turkey";"Neva Hunger";"3.639"
"RED";"14,861.755";"Company 8";"ADVANCED";"STANDBY";"11/07/2011 08:19:23";"12/10/2011 08:19:23";"PRODUCT 2";"Turkey";"Neva Hunger";"5.24"
"YELLOW";"13,703.482";"Company 2";"EARLY";"STANDBY";"06/07/2011 16:57:23";"20/10/2011 16:57:23";"PRODUCT 4";"Australia";"Nita Marling";"58.292"
"GREY";"11,739.531";"Company 6";"ADVANCED";"VERBAL COMMITMENT";"07/07/2011 18:40:23";"30/10/2011 18:40:23";"PRODUCT 1";"Canada";"Julio Burdge";"26.2"
"GREEN";"14,721.83";"Company 1";"ADVANCED";"SHORT LISTED";"05/07/2011 20:55:23";"14/10/2011 20:55:23";"PRODUCT 2";"Poland";"Jerri Preble";"78.625"
"GREEN";"9,305.653";"Company 3";"STANDBY";"VERBAL COMMITMENT";"13/07/2011 09:27:23";"11/10/2011 09:27:23";"PRODUCT 2";"Brazil";"Julio Burdge";"93.47"
"GREY";"8,527.806";"Company 3";"STANDBY";"SHORT LISTED";"03/07/2011 17:31:23";"13/11/2011 17:31:23";"PRODUCT 6";"Norway";"Kathrine Janas";"28.7"
"GREEN";"9,472.505";"Company 4";"STANDBY";"LOST";"26/07/2011 11:18:23";"26/10/2011 11:18:23";"PRODUCT 7";"Poland";"Kathrine Janas";"86.254"
"RED";"12,230.395";"Company 1";"STANDBY";"STANDBY";"19/07/2011 01:58:23";"03/11/2011 01:58:23";"PRODUCT 6";"Saudi Arabia";"Jerri Preble";"15.322"
"GREY";"13,006.204";"Company 4";"ADVANCED";"VERBAL COMMITMENT";"09/07/2011 19:01:23";"22/10/2011 19:01:23";"PRODUCT 8";"Belgium";"Neva Hunger";"27.245"
"RED";"11,980.47";"Company 8";"EARLY";"LOST";"06/07/2011 10:03:23";"18/10/2011 10:03:23";"PRODUCT 1";"Japan";"Darryl Innes";"19.315"
"GREY";"8,280.843";"Company 4";"EARLY";"STANDBY";"02/07/2011 14:50:23";"30/09/2011 14:50:23";"PRODUCT 11";"Mexico";"Nita Marling";"29.723"
"YELLOW";"12,168.397";"Company 3";"STANDBY";"QUALIFIED";"02/07/2011 07:47:23";"03/11/2011 07:47:23";"PRODUCT 5";"Canada";"Nita Marling";"70.941"
"RED";"8,294.452";"Company 6";"EARLY";"QUALIFIED";"02/07/2011 23:07:23";"29/10/2011 23:07:23";"PRODUCT 3";"Spain";"Julio Burdge";"13.79"
"RED";"8,633.352";"Company 5";"EARLY";"DEMO";"11/07/2011 13:30:23";"15/11/2011 13:30:23";"PRODUCT 1";"South Korea";"Julio Burdge";"19.46"
"GREY";"13,446.677";"Company 3";"EARLY";"SHORT LISTED";"24/07/2011 02:28:23";"17/11/2011 02:28:23";"PRODUCT 3";"India";"Darryl Innes";"41.755"
"GREY";"8,384.361";"Company 1";"EARLY";"LOST";"16/07/2011 06:20:23";"23/10/2011 06:20:23";"PRODUCT 10";"United Kingdom";"Jamie Gilbeau";"46.825"
"RED";"8,578.177";"Company 7";"STANDBY";"VERBAL COMMITMENT";"09/07/2011 03:55:23";"27/10/2011 03:55:23";"PRODUCT 3";"China";"Nita Marling";"22.647"
"GREEN";"8,333.06";"Company 9";"EARLY";"LOST";"13/07/2011 00:44:23";"23/10/2011 00:44:23";"PRODUCT 6";"Indonesia";"Darryl Innes";"75.526"
"GREY";"11,771.742";"Company 7";"EARLY";"QUALIFIED";"24/07/2011 23:34:23";"23/10/2011 23:34:23";"PRODUCT 5";"Switzerland";"Kathrine Janas";"35.88"
"RED";"13,538.165";"Company 4";"EARLY";"DEMO";"11/08/2011 06:51:23";"05/12/2011 06:51:23";"PRODUCT 2";"United States";"Kathrine Janas";"20.571"
"RED";"10,415.131";"Company 3";"STANDBY";"QUALIFIED";"21/08/2011 08:33:23";"16/12/2011 08:33:23";"PRODUCT 3";"Turkey";"Jamie Gilbeau";"24.054"
"GREY";"14,461.675";"Company 4";"STANDBY";"VERBAL COMMITMENT";"17/08/2011 05:00:23";"27/11/2011 05:00:23";"PRODUCT 7";"United Kingdom";"Julio Burdge";"35.603"
"RED";"12,025.62";"Company 4";"STANDBY";"SHORT LISTED";"09/08/2011 13:34:23";"19/11/2011 13:34:23";"PRODUCT 8";"Mexico";"Kathrine Janas";"4.891"
"RED";"10,736.78";"Company 8";"EARLY";"STANDBY";"23/08/2011 08:36:23";"12/12/2011 08:36:23";"PRODUCT 1";"Belgium";"Neva Hunger";"3.166"
"YELLOW";"10,336.284";"Company 3";"ADVANCED";"VERBAL COMMITMENT";"15/08/2011 23:47:23";"26/12/2011 23:47:23";"PRODUCT 8";"Brazil";"Jerri Preble";"52.323"
"RED";"14,947.495";"Company 3";"EARLY";"DEMO";"14/08/2011 03:51:23";"12/11/2011 03:51:23";"PRODUCT 11";"Canada";"Nita Marling";"19.105"
"GREEN";"10,143.98";"Company 2";"STANDBY";"DEMO";"15/08/2011 20:20:23";"05/12/2011 20:20:23";"PRODUCT 11";"United States";"Julio Burdge";"96.715"
"RED";"11,920.012";"Company 6";"ADVANCED";"SHORT LISTED";"25/08/2011 02:32:23";"01/01/2012 02:32:23";"PRODUCT 4";"United States";"Kathrine Janas";"21.11"
"GREEN";"9,419.065";"Company 8";"STANDBY";"VERBAL COMMITMENT";"26/08/2011 15:02:23";"30/11/2011 15:02:23";"PRODUCT 4";"United Kingdom";"Roxie Foraker";"94.224"
"RED";"10,025.772";"Company 6";"ADVANCED";"CONTACTED";"25/08/2011 18:49:23";"25/11/2011 18:49:23";"PRODUCT 3";"Sweden";"Kathrine Janas";"11.401"
"RED";"12,176.821";"Company 3";"STANDBY";"DEMO";"08/08/2011 20:49:23";"19/11/2011 20:49:23";"PRODUCT 5";"Germany";"Jamie Gilbeau";"15.304"
"RED";"12,996.249";"Company 3";"STANDBY";"SHORT LISTED";"25/08/2011 14:07:23";"04/12/2011 14:07:23";"PRODUCT 1";"Australia";"Julio Burdge";"23.549"
"RED";"12,610.606";"Company 4";"STANDBY";"SHORT LISTED";"08/08/2011 08:25:23";"08/12/2011 08:25:23";"PRODUCT 7";"Belgium";"Darryl Innes";"2.354"
"GREEN";"13,749.461";"Company 8";"EARLY";"STANDBY";"22/08/2011 10:29:23";"18/12/2011 10:29:23";"PRODUCT 6";"Canada";"Neva Hunger";"83.445"
"GREY";"9,986.716";"Company 3";"ADVANCED";"LOST";"14/08/2011 21:53:23";"17/12/2011 21:53:23";"PRODUCT 1";"South Korea";"Darryl Innes";"46.502"
"RED";"13,728.196";"Company 8";"EARLY";"DEMO";"27/08/2011 11:13:23";"03/01/2012 11:13:23";"PRODUCT 8";"Turkey";"Jamie Gilbeau";"14.402"
"GREY";"8,800.979";"Company 7";"ADVANCED";"LOST";"15/08/2011 10:14:23";"04/12/2011 10:14:23";"PRODUCT 8";"Germany";"Jerri Preble";"33.527"
"GREY";"8,249.955";"Company 2";"EARLY";"CONTACTED";"24/08/2011 19:51:23";"03/01/2012 19:51:23";"PRODUCT 3";"Mexico";"Neva Hunger";"36.403"
